id;pengujianId;parameter;created_at;updated_at
;1;Temperatur;;
;1;Zat Padat Terlarut (TDS);;
;1;Zat Padat Tersuspensi (TSS);;
;1;pH;;
;1;BOD5;;
;1;COD;;
;1;DO;;
;1;Phosphat (PO42-);;
;1;Nitrat sebagai N (NO3- );;
;1;Amonia bebas (NH3-N) ;;
;1;Arsen (As) ;;
;1;Barium (Ba);;
;1;Cadmium (Cd);;
;1;Kromium ( Cr6);;
;1;Tembaga (Cu);;
;1;Besi (Fe);;
;1;Timbal (Pb);;
;1;Mangan (Mn);;
;1;Air Raksa (Hg);;
;1;Seng (Zn);;
;1;Sianida (CN);;
;1;Fluorida (F);;
;1;Nitrit sebagai N (NO2- );;
;1;Sulfat (SO42);;
;1;Klorin Total ( Cl );;
;1;Klorin bebas ( Cl2 );;
;1;Fecal Coliform;;
;1;Total Coliform;;
;1;Minyak /lemak;;
;1;Senyawa aktif Biru Metilen/MBAS/Surfactan;;
;1;Senyawa fenol sbg Fenol;;
;1;DHL;;
;1;Kekeruhan;;
;1;Warna;;
;1;Sulfida (S2-);;
;2;Temperatur;;
;2;Zat Padat Terlarut (TDS);;
;2;Zat Padat Tersuspensi (TSS);;
;2;pH;;
;2;BOD5;;
;2;COD;;
;2;DO;;
;2;Phosphat (PO42-);;
;2;Nitrat sebagai N (NO3- );;
;2;Amonia bebas (NH3-N) ;;
;2;Arsen (As) ;;
;2;Barium (Ba);;
;2;Cadmium (Cd);;
;2;Kromium ( Cr6);;
;2;Tembaga (Cu);;
;2;Besi (Fe);;
;2;Timbal (Pb);;
;2;Mangan (Mn);;
;2;Air Raksa (Hg);;
;2;Seng (Zn);;
;2;Sianida (CN);;
;2;Fluorida (F);;
;2;Nitrit sebagai N (NO2- );;
;2;Sulfat (SO42);;
;2;Klorin Total ( Cl );;
;2;Klorin bebas ( Cl2 );;
;2;Fecal Coliform;;
;2;Total Coliform;;
;2;Minyak /lemak;;
;2;Senyawa aktif Biru Metilen/MBAS/Surfactan;;
;2;Senyawa fenol sbg Fenol;;
;2;DHL;;
;2;Kekeruhan;;
;2;Warna;;
;2;Sulfida (S2-);;
;3;Temperatur;;
;3;Zat Padat Terlarut (TDS);;
;3;Zat Padat Tersuspensi (TSS);;
;3;pH;;
;3;BOD5;;
;3;COD;;
;3;DO;;
;3;Phosphat (PO42-);;
;3;Nitrat sebagai N (NO3- );;
;3;Amonia bebas (NH3-N) ;;
;3;Arsen (As) ;;
;3;Barium (Ba);;
;3;Cadmium (Cd);;
;3;Kromium ( Cr6);;
;3;Tembaga (Cu);;
;3;Besi (Fe);;
;3;Timbal (Pb);;
;3;Mangan (Mn);;
;3;Air Raksa (Hg);;
;3;Seng (Zn);;
;3;Sianida (CN);;
;3;Fluorida (F);;
;3;Nitrit sebagai N (NO2- );;
;3;Sulfat (SO42);;
;3;Klorin Total ( Cl );;
;3;Klorin bebas ( Cl2 );;
;3;Fecal Coliform;;
;3;Total Coliform;;
;3;Minyak /lemak;;
;3;Senyawa aktif Biru Metilen/MBAS/Surfactan;;
;3;Senyawa fenol sbg Fenol;;
;3;DHL;;
;3;Kekeruhan;;
;3;Warna;;
;3;Sulfida (S2-);;
;4;NO2;;
;4;SO2;;
;4;H2S;;
;4;DEBU TSP;;
;4;NH3;;
;4;Ox;;
;4;Kebisingan;;
;4;Suhu Udara;;
;4;Kelembaban;;
;4;CO2;;
