id;pengujian;parameter;created_at;updated_at
;5;Temperatur;;
;5;Zat Padat Terlarut (TDS);;
;5;Zat Padat Tersuspensi (TSS);;
;5;pH;;
;5;BOD5;;
;5;COD;;
;5;DO;;
;5;Phosphat (PO42-);;
;5;Nitrat sebagai N (NO3- );;
;5;Amonia bebas (NH3-N) ;;
;5;Arsen (As) ;;
;5;Barium (Ba);;
;5;Cadmium (Cd);;
;5;Kromium ( Cr6);;
;5;Tembaga (Cu);;
;5;Besi (Fe);;
;5;Timbal (Pb);;
;5;Mangan (Mn);;
;5;Air Raksa (Hg);;
;5;Seng (Zn);;
;5;Sianida (CN);;
;5;Fluorida (F);;
;5;Nitrit sebagai N (NO2- );;
;5;Sulfat (SO42);;
;5;Klorin Total ( Cl );;
;5;Klorin bebas ( Cl2 );;
;5;Fecal Coliform;;
;5;Total Coliform;;
;5;Minyak /lemak;;
;5;Senyawa aktif Biru Metilen/MBAS/Surfactan;;
;5;Senyawa fenol sbg Fenol;;
;5;DHL;;
;5;Kekeruhan;;
;5;Warna;;
;5;Sulfida (S2-);;
;6;NO2;;
;6;SO2;;
;6;H2S;;
;6;DEBU TSP;;
;6;NH3;;
;6;Ox;;
;6;Kebisingan;;
;6;Suhu Udara;;
;6;Kelembaban;;
;6;CO2;;
